tweet_id;text
1367419195567329288;Mit Rang 6 ist die HSG unter den Top 10 der besten Arbeitgeber 2021 in der Kategorie «#Bildung und #Forschung» https://t.co/IF22Y7LKqE
1367400678713405444;"RT @IntOrgJournal: From the new issue: 
@ProfJDavis and Rose McDermott review the origins, status, and future of behavioral IR, understood…"
1367374086243053568;RT @harvard_biz: Kontaktfreies Einkaufen -  lohnt sich das wirklich für alle Kunden? Thomas Rudolph und seine KollegInnen von der Universit…
1367109647761629189;Was können #Führungskräfte für mehr #Gleichstellung von Mann und Frau in Schweizer Unternehmen tun? Ein Meinungsbei… https://t.co/DtDRa6ia7A
1367057042112983040;RT @EFMDNews: It is our pleasure to announce that the University of St.Gallen @HSGStGallen confirmed its exceptional on-going commitment an…
1367006646858379265;In der aktuellen Folge von «Meet the #CFO» erklärt Marco Dirren @Impleniatweet #Implenia, warum es für ihn das grös… https://t.co/GEaBUZExij
1366773068102856704;RT @hsg_shss: Prof. Dr. Julia Nentwich @julia_nentwich #SHSS und Gabriele Schambach diskutieren in der @Handelszeitung darüber, was Manager…
1366755169908662272;#DataRights are human rights - HSG professor @veronicabarassi @hsg_shss argues that if we want to understand the im… https://t.co/h7mmM90lfH
1366707354880798727;Die Zusammensetzung der #Darmflora beeinflusst auch die Gesundheit des Gehirns. Forscher des Berner Inselspitals… https://t.co/ofFPrtb92N
1366688688671981568;HSG-Prof. Sabine Seufert estimates that it will be ten to 15 years before #robots will effectively be used in… https://t.co/DUQ7gjQ66I
1366284598494322691;RT @SimonEvenett: Europe and Asia are responsible for the lion's share of export curbs on food imposed since the pandemic began. Many have…
1365235312855838723;Wie können Kranke mit Hilfe eines digitalen #Gesundheitssystems besser versorgt werden? Dies zeigt eine Studie der… https://t.co/2ohrhKgfpc
1365197506104205313;#Performance Evaluation: Why do some companies outperform others? The quality and speed of #DecisionMaking is often… https://t.co/GDvxSvAyTX
1364950934133084178;«In Zukunft wird Wissensarbeit häufiger an mehrere Standorte verlagert. Das erhöht die Resilienz.», sagt HSG-Prof.… https://t.co/N5NEvTFyZT
1364940122756681731;«Viele Studien zeigen inzwischen, dass es auf lange Sicht selbst professionelle Investmentmanager sehr schwer ist,… https://t.co/SNy58TcvAl
1364937193589010432;RT @swissinfo_de: Können #Roboter Lehraufgaben übernehmen – sei es im Fernunterricht oder in der Klasse? Experten sehen darin Potenzial und…
1364933919196520455;Berufliche #Bildung: «An den #VUCA-Welten führt kein Weg vorbei», sagt Sabine Seufert, Direktorin des Instituts für… https://t.co/zxeIfgiCSq
1364916051645919239;“Every week of #shutdown is more costly than the vaccines.” HSG-economist Stefan Legge on the slow delivery of… https://t.co/7wwvfDycJY
1364868521180753926;Das Innovationsnetzwerk #Ostschweiz (INOS) will Unternehmen in Sachen #Innovation unterstützen. Geschäftsführer ist… https://t.co/6vgm1X0X17
1364852964398145537;Warum #PerformanceManagement das neue #Controlling ist - ein Interview mit HSG-Prof. Klaus Möller https://t.co/wxSzdVsCFM
